Feature,MeanAbsSHAP,MeanSHAP
target_core_3m_lag3,0.06493042226792346,0.040180540037729
target_core_3m_lag2,0.05306861530575393,0.01964520519995719
variable_mortgages_lag2,0.025186197069000996,0.025177401419619404
variable_mortgages_lag3,0.011419619835044758,0.011351563338001646
unemployment_rate_lag2,0.008629562314997879,-0.008555954315189948
unemployment_rate_lag3,0.003179364905076788,-0.00306327516287612
CH_2int_lag2,0.002783961219529093,0.0020020658395287095
EU_fin_spread_lag2,0.002746070313096286,-0.0010635057343005231
infl_e_next_year_lag2,0.0022318184072253567,0.002221591679090562
kofbarometer_lag2,0.0020800644073939133,0.0019330441945129128
Saron_Rate_lag2,0.0017257619654563548,0.0012231311398057296
EU_fin_spread_lag3,0.001188198450051029,-0.0005093564981310792
infl_e_current_year_lag2,0.0011081589173966375,0.0010893708638348534
kofbarometer_lag3,0.0010283265489003475,0.0008344622818238104
oilprices_lag2,0.0009614540154884958,-0.0009107268845940324
Saron_Rate_lag3,0.0009176063800186335,0.0005568761273167493
CH_2int_lag3,0.0009123856960087083,0.0006323444514207802
Business_Confidence_EU_lag2,0.0007941167104777796,-0.0004316301067455583
M2_change_lag2,0.0007758274573846717,0.0006791599923718153
sin_cycle_1_lag2,0.0006798060367847914,4.11363440993825e-05
cos_cycle_1_lag2,0.0006539460710130668,-3.8252869842283636e-05
infl_e_next_year_lag3,0.0005888148433695442,0.0005673137728819871
infl_e_current_year_lag3,0.00042829798047223656,0.0003769222706296933
oilprices_lag3,0.0004246280896485044,-0.0002390915760757955
M3_change_lag2,0.00039669660321892656,0.00013901058335894498
M2_change_lag3,0.0003892359587583759,0.00036385851198082807
cos_cycle_2_lag2,0.00037899155281603185,-3.358279669824576e-05
M1_change_lag2,0.00035856531629279033,0.0002944438522531608
Business_Confidence_EU_lag3,0.0003390630354575424,-0.0001748447671554745
sin_cycle_1_lag3,0.00032511854485043755,-1.3602123472701765e-05
fin_spread_lag2,0.0002710292434704422,0.00018557576303690552
M1_change_lag3,0.00023333424355712076,0.00018620405503152993
Wage_change_lag2,0.00023206459155778855,-7.511880858128535e-05
fin_spread_lag3,0.00018627463789725352,6.934963563786269e-05
sin_cycle_2_lag2,0.00013950524409034012,7.873307976673656e-06
M3_change_lag3,0.00013109241610469117,7.16966469468634e-05
Wage_change_lag3,0.00012619758843449588,6.93877983859566e-07
cos_cycle_2_lag3,0.0001180068575150638,-1.629896286228184e-06
core_1m_lag2,0.00010587492610141835,-3.4998992500629652e-06
headline_1m_lag2,0.0001037769783333942,-5.017934741442272e-05
cos_cycle_1_lag3,6.879810943310777e-05,-3.719080359058668e-06
gdp_index_eu_lag2,5.359855732039599e-05,1.3453292432039282e-05
Manufacturing_EU_lag2,5.1821194822579494e-05,-1.3537627195709544e-05
PPI_lag2,4.829118437354736e-05,-2.383740416179955e-05
gdp_index_ch_lag2,4.7430616065736184e-05,1.95524685014379e-05
Exchange_Rate_CHF_lag2,3.455744676239692e-05,-7.029079328262815e-06
Manufacturing_EU_lag3,3.4066026537469707e-05,-1.0414302946498801e-05
PPI_lag3,2.8652261880639796e-05,1.56207763030038e-05
headline_1m_lag3,2.268191872623734e-05,1.5833644928884432e-06
gdp_index_ch_lag3,2.101414792536375e-05,1.2362085800121749e-05
core_1m_lag3,2.0839404726362482e-05,4.654511589680363e-06
real_turnover_lag3,2.0522521017085738e-05,1.4919038739388735e-05
Vol_loans_lag2,1.828878653995169e-05,1.4502387172632297e-05
gdp_index_eu_lag3,1.4003871682613927e-05,1.0080380218030536e-06
Exchange_Rate_CHF_lag3,1.204773637259129e-05,3.501382644344613e-06
real_turnover_lag2,1.1577999586729288e-05,1.6680137210805785e-06
retail_turnover_lag2,1.1097848316251406e-05,-6.005969198896936e-06
Vol_loans_lag3,6.898846453922174e-06,5.172542427698716e-06
retail_turnover_lag3,6.274517237128951e-06,1.0908686832028227e-06
sin_cycle_2_lag3,8.85671060147922e-20,3.4566803455698206e-21
