Model,Target,Horizon,Feature,MeanAbsSHAP,MeanSHAP
bvar_natural_niw_hierarchical,Core,3,sin_cycle_2_lag3,4.883576757770202e-19,1.0960497045344092e-19
bvar_natural_niw_hierarchical,Core,6,variable_mortgages_lag2,0.08214877946780776,0.08214877946780776
bvar_natural_niw_hierarchical,Core,6,variable_mortgages_lag3,0.034343849001412685,0.034343849001412685
bvar_natural_niw_hierarchical,Core,6,EU_fin_spread_lag2,0.009666887158398552,-0.009465687116680525
bvar_natural_niw_hierarchical,Core,6,unemployment_rate_lag2,0.008106343989149563,-0.008106343989149563
bvar_natural_niw_hierarchical,Core,6,CH_2int_lag2,0.007475377461617464,-0.006716535514521678
bvar_natural_niw_hierarchical,Core,6,kofbarometer_lag2,0.0064506032284082065,0.0064506032284082065
bvar_natural_niw_hierarchical,Core,6,Saron_Rate_lag2,0.0050651244808515485,-0.0042909413745320975
bvar_natural_niw_hierarchical,Core,6,EU_fin_spread_lag3,0.004084496399474566,-0.004029906616971793
bvar_natural_niw_hierarchical,Core,6,CH_2int_lag3,0.003087217474863963,-0.0028462696664623573
bvar_natural_niw_hierarchical,Core,6,oilprices_lag2,0.0028722591811867018,-0.0028373836472778864
bvar_natural_niw_hierarchical,Core,6,kofbarometer_lag3,0.002345947995692006,0.0023342241375207697
bvar_natural_niw_hierarchical,Core,6,unemployment_rate_lag3,0.0022275506283711347,-0.0022275506283711347
bvar_natural_niw_hierarchical,Core,6,Saron_Rate_lag3,0.0021217810305559715,-0.0018913188532029216
bvar_natural_niw_hierarchical,Core,6,M3_change_lag2,0.0020851701143193434,-0.0019864693788179473
bvar_natural_niw_hierarchical,Core,6,infl_e_next_year_lag2,0.0016639373386374188,0.0016127084822592755
bvar_natural_niw_hierarchical,Core,6,oilprices_lag3,0.0012838596381739404,-0.0012820736373818297
bvar_natural_niw_hierarchical,Core,6,M2_change_lag2,0.0012597142333352815,-0.0009676834009381756
bvar_natural_niw_hierarchical,Core,6,Wage_change_lag2,0.0011578963525905766,0.0010709117255270034
bvar_natural_niw_hierarchical,Core,6,M3_change_lag3,0.0009382214187163314,-0.0009106610155196666
bvar_natural_niw_hierarchical,Core,6,Business_Confidence_EU_lag2,0.0008844478344318222,-0.0003148220142963531
bvar_natural_niw_hierarchical,Core,6,sin_cycle_1_lag2,0.000811557770159151,4.766749363753467e-05
bvar_natural_niw_hierarchical,Core,6,M1_change_lag2,0.0007275641561157078,-0.0005714142329640616
bvar_natural_niw_hierarchical,Core,6,target_core_6m_lag3,0.0006616483070700153,0.0001694185980818256
bvar_natural_niw_hierarchical,Core,6,infl_e_current_year_lag2,0.0006408612626537375,0.00016572324096516533
bvar_natural_niw_hierarchical,Core,6,M2_change_lag3,0.0005909731185388057,-0.00048064975307328725
bvar_natural_niw_hierarchical,Core,6,target_core_6m_lag2,0.0005886833865019487,0.00010194211277100814
bvar_natural_niw_hierarchical,Core,6,infl_e_next_year_lag3,0.0005579941529653212,0.0005376047849281866
bvar_natural_niw_hierarchical,Core,6,Wage_change_lag3,0.000519140256591831,0.0004823745042242078
bvar_natural_niw_hierarchical,Core,6,Business_Confidence_EU_lag3,0.0004347276837727827,-0.00020772219383707508
bvar_natural_niw_hierarchical,Core,6,fin_spread_lag2,0.00036853205841394206,8.838565561153064e-05
bvar_natural_niw_hierarchical,Core,6,M1_change_lag3,0.0003364075825087717,-0.000255897899534571
bvar_natural_niw_hierarchical,Core,6,cos_cycle_1_lag2,0.0002541332083128719,1.5805220653156783e-05
bvar_natural_niw_hierarchical,Core,6,infl_e_current_year_lag3,0.00025221328334790514,3.2073103486687484e-05
bvar_natural_niw_hierarchical,Core,6,sin_cycle_1_lag3,0.00019365671305182454,1.0100801503232653e-05
bvar_natural_niw_hierarchical,Core,6,cos_cycle_1_lag3,0.00017752439097108686,2.157141671723884e-05
bvar_natural_niw_hierarchical,Core,6,fin_spread_lag3,0.00017155623175877364,-1.008414515197014e-05
bvar_natural_niw_hierarchical,Core,6,gdp_index_ch_lag2,0.00014154424932769443,6.813732657983058e-05
bvar_natural_niw_hierarchical,Core,6,PPI_lag2,9.790025159078822e-05,-2.2715005031002936e-05
bvar_natural_niw_hierarchical,Core,6,gdp_index_eu_lag2,9.080783286037789e-05,5.693569017831452e-05
bvar_natural_niw_hierarchical,Core,6,gdp_index_eu_lag3,7.648453420842706e-05,4.1016266404604995e-05
bvar_natural_niw_hierarchical,Core,6,gdp_index_ch_lag3,5.159343192807828e-05,3.5279068317919625e-05
bvar_natural_niw_hierarchical,Core,6,PPI_lag3,3.4646015371962424e-05,-1.294614001486929e-05
bvar_natural_niw_hierarchical,Core,6,sin_cycle_2_lag2,3.416844644641433e-05,-2.9906966138761606e-06
bvar_natural_niw_hierarchical,Core,6,Exchange_Rate_CHF_lag2,2.6053990419021403e-05,1.4681622507075199e-06
bvar_natural_niw_hierarchical,Core,6,cos_cycle_2_lag2,2.20852159305664e-05,-5.596158412241805e-06
bvar_natural_niw_hierarchical,Core,6,cos_cycle_2_lag3,2.1842732347919153e-05,1.374886536527812e-06
bvar_natural_niw_hierarchical,Core,6,Manufacturing_EU_lag2,1.6858040142463006e-05,6.5828255495678985e-06
bvar_natural_niw_hierarchical,Core,6,real_turnover_lag3,1.5340778366216806e-05,-1.3412351706077953e-06
bvar_natural_niw_hierarchical,Core,6,core_1m_lag2,1.5265683001416295e-05,5.562730384764499e-06
bvar_natural_niw_hierarchical,Core,6,headline_1m_lag2,1.3066089998865551e-05,-4.997946994926779e-07
bvar_natural_niw_hierarchical,Core,6,Vol_loans_lag2,1.0715302172218506e-05,8.772413054124704e-06
bvar_natural_niw_hierarchical,Core,6,Exchange_Rate_CHF_lag3,1.0268574860987001e-05,-2.3914434854860535e-06
bvar_natural_niw_hierarchical,Core,6,retail_turnover_lag2,9.885430188772159e-06,1.7848119952589048e-06
bvar_natural_niw_hierarchical,Core,6,retail_turnover_lag3,9.6785537406689e-06,-5.335924122000487e-07
bvar_natural_niw_hierarchical,Core,6,Manufacturing_EU_lag3,7.4627355806119775e-06,1.0240657372265821e-06
bvar_natural_niw_hierarchical,Core,6,headline_1m_lag3,7.285772717715478e-06,2.143274423348586e-07
bvar_natural_niw_hierarchical,Core,6,real_turnover_lag2,7.147063261893125e-06,2.4219560883542675e-06
bvar_natural_niw_hierarchical,Core,6,core_1m_lag3,5.521944438071557e-06,-1.5579375180715765e-06
bvar_natural_niw_hierarchical,Core,6,Vol_loans_lag3,3.5113719758818088e-06,1.5428705754294306e-06
