Date,Target,Horizon,Factor,Variable,Weight
2013-06-01,Headline,3,Factor_5,oilprices,0.3335
2013-06-01,Headline,3,Factor_5,real_turnover,-0.3077
2013-09-01,Headline,3,Factor_1,M2_change,-0.343
2013-09-01,Headline,3,Factor_1,M1_change,-0.3277
2013-09-01,Headline,3,Factor_1,Saron_Rate,0.3237
2013-09-01,Headline,3,Factor_1,EU_fin_spread,-0.3165
2013-09-01,Headline,3,Factor_1,CH_2int,0.3163
2013-09-01,Headline,3,Factor_2,kofbarometer,0.3883
2013-09-01,Headline,3,Factor_2,Wage_change,-0.3416
2013-09-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2013-09-01,Headline,3,Factor_2,Business_Confidence_EU,0.3191
2013-09-01,Headline,3,Factor_2,gdp_index_eu,0.2963
2013-09-01,Headline,3,Factor_3,oilprices,-0.498
2013-09-01,Headline,3,Factor_3,variable_mortgages,0.4183
2013-09-01,Headline,3,Factor_3,fin_spread,0.3861
2013-09-01,Headline,3,Factor_3,kofbarometer,0.2611
2013-09-01,Headline,3,Factor_3,Manufacturing_EU,0.2469
2013-09-01,Headline,3,Factor_4,retail_turnover,-0.4373
2013-09-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.4014
2013-09-01,Headline,3,Factor_4,Wage_change,-0.3131
2013-09-01,Headline,3,Factor_4,Saron_Rate,-0.2836
2013-09-01,Headline,3,Factor_4,infl_e_next_year,0.2587
2013-09-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5468
2013-09-01,Headline,3,Factor_5,Vol_loans,-0.3831
2013-09-01,Headline,3,Factor_5,Manufacturing_EU,0.3686
2013-09-01,Headline,3,Factor_5,oilprices,0.3335
2013-09-01,Headline,3,Factor_5,real_turnover,-0.3077
2013-12-01,Headline,3,Factor_1,M2_change,-0.343
2013-12-01,Headline,3,Factor_1,M1_change,-0.3277
2013-12-01,Headline,3,Factor_1,Saron_Rate,0.3237
2013-12-01,Headline,3,Factor_1,EU_fin_spread,-0.3165
2013-12-01,Headline,3,Factor_1,CH_2int,0.3163
2013-12-01,Headline,3,Factor_2,kofbarometer,0.3883
2013-12-01,Headline,3,Factor_2,Wage_change,-0.3416
2013-12-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2013-12-01,Headline,3,Factor_2,Business_Confidence_EU,0.3191
2013-12-01,Headline,3,Factor_2,gdp_index_eu,0.2963
2013-12-01,Headline,3,Factor_3,oilprices,-0.498
2013-12-01,Headline,3,Factor_3,variable_mortgages,0.4183
2013-12-01,Headline,3,Factor_3,fin_spread,0.3861
2013-12-01,Headline,3,Factor_3,kofbarometer,0.2611
2013-12-01,Headline,3,Factor_3,Manufacturing_EU,0.2469
2013-12-01,Headline,3,Factor_4,retail_turnover,-0.4373
2013-12-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.4014
2013-12-01,Headline,3,Factor_4,Wage_change,-0.3131
2013-12-01,Headline,3,Factor_4,Saron_Rate,-0.2836
2013-12-01,Headline,3,Factor_4,infl_e_next_year,0.2587
2013-12-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5468
2013-12-01,Headline,3,Factor_5,Vol_loans,-0.3831
2013-12-01,Headline,3,Factor_5,Manufacturing_EU,0.3686
2013-12-01,Headline,3,Factor_5,oilprices,0.3335
2013-12-01,Headline,3,Factor_5,real_turnover,-0.3077
2014-03-01,Headline,3,Factor_1,M2_change,-0.343
2014-03-01,Headline,3,Factor_1,M1_change,-0.3277
2014-03-01,Headline,3,Factor_1,Saron_Rate,0.3237
2014-03-01,Headline,3,Factor_1,EU_fin_spread,-0.3165
2014-03-01,Headline,3,Factor_1,CH_2int,0.3163
2014-03-01,Headline,3,Factor_2,kofbarometer,0.3883
2014-03-01,Headline,3,Factor_2,Wage_change,-0.3416
2014-03-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2014-03-01,Headline,3,Factor_2,Business_Confidence_EU,0.3191
2014-03-01,Headline,3,Factor_2,gdp_index_eu,0.2963
2014-03-01,Headline,3,Factor_3,oilprices,-0.498
2014-03-01,Headline,3,Factor_3,variable_mortgages,0.4183
2014-03-01,Headline,3,Factor_3,fin_spread,0.3861
2014-03-01,Headline,3,Factor_3,kofbarometer,0.2611
2014-03-01,Headline,3,Factor_3,Manufacturing_EU,0.2469
2014-03-01,Headline,3,Factor_4,retail_turnover,-0.4373
2014-03-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.4014
2014-03-01,Headline,3,Factor_4,Wage_change,-0.3131
2014-03-01,Headline,3,Factor_4,Saron_Rate,-0.2836
2014-03-01,Headline,3,Factor_4,infl_e_next_year,0.2587
2014-03-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5468
2014-03-01,Headline,3,Factor_5,Vol_loans,-0.3831
2014-03-01,Headline,3,Factor_5,Manufacturing_EU,0.3686
2014-03-01,Headline,3,Factor_5,oilprices,0.3335
2014-03-01,Headline,3,Factor_5,real_turnover,-0.3077
2014-06-01,Headline,3,Factor_1,M2_change,-0.343
2014-06-01,Headline,3,Factor_1,M1_change,-0.3277
2014-06-01,Headline,3,Factor_1,Saron_Rate,0.3237
2014-06-01,Headline,3,Factor_1,EU_fin_spread,-0.3165
2014-06-01,Headline,3,Factor_1,CH_2int,0.3163
2014-06-01,Headline,3,Factor_2,kofbarometer,0.3883
2014-06-01,Headline,3,Factor_2,Wage_change,-0.3416
2014-06-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2014-06-01,Headline,3,Factor_2,Business_Confidence_EU,0.3191
2014-06-01,Headline,3,Factor_2,gdp_index_eu,0.2963
2014-06-01,Headline,3,Factor_3,oilprices,-0.498
2014-06-01,Headline,3,Factor_3,variable_mortgages,0.4183
2014-06-01,Headline,3,Factor_3,fin_spread,0.3861
2014-06-01,Headline,3,Factor_3,kofbarometer,0.2611
2014-06-01,Headline,3,Factor_3,Manufacturing_EU,0.2469
2014-06-01,Headline,3,Factor_4,retail_turnover,-0.4373
2014-06-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.4014
2014-06-01,Headline,3,Factor_4,Wage_change,-0.3131
2014-06-01,Headline,3,Factor_4,Saron_Rate,-0.2836
2014-06-01,Headline,3,Factor_4,infl_e_next_year,0.2587
2014-06-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5468
2014-06-01,Headline,3,Factor_5,Vol_loans,-0.3831
2014-06-01,Headline,3,Factor_5,Manufacturing_EU,0.3686
2014-06-01,Headline,3,Factor_5,oilprices,0.3335
2014-06-01,Headline,3,Factor_5,real_turnover,-0.3077
2014-09-01,Headline,3,Factor_1,M2_change,-0.343
2014-09-01,Headline,3,Factor_1,M1_change,-0.3277
