Date,Target,Horizon,Factor,Variable,Weight
2013-03-01,Headline,3,Factor_5,real_turnover,-0.3016
2013-06-01,Headline,3,Factor_1,M2_change,-0.3429
2013-06-01,Headline,3,Factor_1,M1_change,-0.3278
2013-06-01,Headline,3,Factor_1,Saron_Rate,0.3233
2013-06-01,Headline,3,Factor_1,CH_2int,0.316
2013-06-01,Headline,3,Factor_1,EU_fin_spread,-0.316
2013-06-01,Headline,3,Factor_2,kofbarometer,0.3901
2013-06-01,Headline,3,Factor_2,Wage_change,-0.3404
2013-06-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2013-06-01,Headline,3,Factor_2,Business_Confidence_EU,0.3187
2013-06-01,Headline,3,Factor_2,gdp_index_eu,0.2976
2013-06-01,Headline,3,Factor_3,oilprices,-0.4921
2013-06-01,Headline,3,Factor_3,variable_mortgages,0.4256
2013-06-01,Headline,3,Factor_3,fin_spread,0.3701
2013-06-01,Headline,3,Factor_3,kofbarometer,0.2557
2013-06-01,Headline,3,Factor_3,Vol_loans,-0.2523
2013-06-01,Headline,3,Factor_4,retail_turnover,-0.4343
2013-06-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3873
2013-06-01,Headline,3,Factor_4,Wage_change,-0.3197
2013-06-01,Headline,3,Factor_4,Saron_Rate,-0.2848
2013-06-01,Headline,3,Factor_4,infl_e_current_year,0.2675
2013-06-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5685
2013-06-01,Headline,3,Factor_5,Manufacturing_EU,0.3858
2013-06-01,Headline,3,Factor_5,Vol_loans,-0.3772
2013-06-01,Headline,3,Factor_5,oilprices,0.3445
2013-06-01,Headline,3,Factor_5,real_turnover,-0.3016
2013-09-01,Headline,3,Factor_1,M2_change,-0.3429
2013-09-01,Headline,3,Factor_1,M1_change,-0.3278
2013-09-01,Headline,3,Factor_1,Saron_Rate,0.3233
2013-09-01,Headline,3,Factor_1,CH_2int,0.316
2013-09-01,Headline,3,Factor_1,EU_fin_spread,-0.316
2013-09-01,Headline,3,Factor_2,kofbarometer,0.3901
2013-09-01,Headline,3,Factor_2,Wage_change,-0.3404
2013-09-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2013-09-01,Headline,3,Factor_2,Business_Confidence_EU,0.3187
2013-09-01,Headline,3,Factor_2,gdp_index_eu,0.2976
2013-09-01,Headline,3,Factor_3,oilprices,-0.4921
2013-09-01,Headline,3,Factor_3,variable_mortgages,0.4256
2013-09-01,Headline,3,Factor_3,fin_spread,0.3701
2013-09-01,Headline,3,Factor_3,kofbarometer,0.2557
2013-09-01,Headline,3,Factor_3,Vol_loans,-0.2523
2013-09-01,Headline,3,Factor_4,retail_turnover,-0.4343
2013-09-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3873
2013-09-01,Headline,3,Factor_4,Wage_change,-0.3197
2013-09-01,Headline,3,Factor_4,Saron_Rate,-0.2848
2013-09-01,Headline,3,Factor_4,infl_e_current_year,0.2675
2013-09-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5685
2013-09-01,Headline,3,Factor_5,Manufacturing_EU,0.3858
2013-09-01,Headline,3,Factor_5,Vol_loans,-0.3772
2013-09-01,Headline,3,Factor_5,oilprices,0.3445
2013-09-01,Headline,3,Factor_5,real_turnover,-0.3016
2013-12-01,Headline,3,Factor_1,M2_change,-0.3429
2013-12-01,Headline,3,Factor_1,M1_change,-0.3278
2013-12-01,Headline,3,Factor_1,Saron_Rate,0.3233
2013-12-01,Headline,3,Factor_1,CH_2int,0.316
2013-12-01,Headline,3,Factor_1,EU_fin_spread,-0.316
2013-12-01,Headline,3,Factor_2,kofbarometer,0.3901
2013-12-01,Headline,3,Factor_2,Wage_change,-0.3404
2013-12-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2013-12-01,Headline,3,Factor_2,Business_Confidence_EU,0.3187
2013-12-01,Headline,3,Factor_2,gdp_index_eu,0.2976
2013-12-01,Headline,3,Factor_3,oilprices,-0.4921
2013-12-01,Headline,3,Factor_3,variable_mortgages,0.4256
2013-12-01,Headline,3,Factor_3,fin_spread,0.3701
2013-12-01,Headline,3,Factor_3,kofbarometer,0.2557
2013-12-01,Headline,3,Factor_3,Vol_loans,-0.2523
2013-12-01,Headline,3,Factor_4,retail_turnover,-0.4343
2013-12-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3873
2013-12-01,Headline,3,Factor_4,Wage_change,-0.3197
2013-12-01,Headline,3,Factor_4,Saron_Rate,-0.2848
2013-12-01,Headline,3,Factor_4,infl_e_current_year,0.2675
2013-12-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5685
2013-12-01,Headline,3,Factor_5,Manufacturing_EU,0.3858
2013-12-01,Headline,3,Factor_5,Vol_loans,-0.3772
2013-12-01,Headline,3,Factor_5,oilprices,0.3445
2013-12-01,Headline,3,Factor_5,real_turnover,-0.3016
2014-03-01,Headline,3,Factor_1,M2_change,-0.3429
2014-03-01,Headline,3,Factor_1,M1_change,-0.3278
2014-03-01,Headline,3,Factor_1,Saron_Rate,0.3233
2014-03-01,Headline,3,Factor_1,CH_2int,0.316
2014-03-01,Headline,3,Factor_1,EU_fin_spread,-0.316
2014-03-01,Headline,3,Factor_2,kofbarometer,0.3901
2014-03-01,Headline,3,Factor_2,Wage_change,-0.3404
2014-03-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2014-03-01,Headline,3,Factor_2,Business_Confidence_EU,0.3187
2014-03-01,Headline,3,Factor_2,gdp_index_eu,0.2976
2014-03-01,Headline,3,Factor_3,oilprices,-0.4921
2014-03-01,Headline,3,Factor_3,variable_mortgages,0.4256
2014-03-01,Headline,3,Factor_3,fin_spread,0.3701
2014-03-01,Headline,3,Factor_3,kofbarometer,0.2557
2014-03-01,Headline,3,Factor_3,Vol_loans,-0.2523
2014-03-01,Headline,3,Factor_4,retail_turnover,-0.4343
2014-03-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3873
2014-03-01,Headline,3,Factor_4,Wage_change,-0.3197
2014-03-01,Headline,3,Factor_4,Saron_Rate,-0.2848
2014-03-01,Headline,3,Factor_4,infl_e_current_year,0.2675
2014-03-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5685
2014-03-01,Headline,3,Factor_5,Manufacturing_EU,0.3858
2014-03-01,Headline,3,Factor_5,Vol_loans,-0.3772
2014-03-01,Headline,3,Factor_5,oilprices,0.3445
2014-03-01,Headline,3,Factor_5,real_turnover,-0.3016
2014-06-01,Headline,3,Factor_1,M2_change,-0.3429
2014-06-01,Headline,3,Factor_1,M1_change,-0.3278
2014-06-01,Headline,3,Factor_1,Saron_Rate,0.3233
2014-06-01,Headline,3,Factor_1,CH_2int,0.316
2014-06-01,Headline,3,Factor_1,EU_fin_spread,-0.316
2014-06-01,Headline,3,Factor_2,kofbarometer,0.3901
2014-06-01,Headline,3,Factor_2,Wage_change,-0.3404
2014-06-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2014-06-01,Headline,3,Factor_2,Business_Confidence_EU,0.3187
2014-06-01,Headline,3,Factor_2,gdp_index_eu,0.2976
2014-06-01,Headline,3,Factor_3,oilprices,-0.4921
2014-06-01,Headline,3,Factor_3,variable_mortgages,0.4256
2014-06-01,Headline,3,Factor_3,fin_spread,0.3701
2014-06-01,Headline,3,Factor_3,kofbarometer,0.2557
2014-06-01,Headline,3,Factor_3,Vol_loans,-0.2523
2014-06-01,Headline,3,Factor_4,retail_turnover,-0.4343
2014-06-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3873
2014-06-01,Headline,3,Factor_4,Wage_change,-0.3197
2014-06-01,Headline,3,Factor_4,Saron_Rate,-0.2848
2014-06-01,Headline,3,Factor_4,infl_e_current_year,0.2675
2014-06-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5685
2014-06-01,Headline,3,Factor_5,Manufacturing_EU,0.3858
2014-06-01,Headline,3,Factor_5,Vol_loans,-0.3772
2014-06-01,Headline,3,Factor_5,oilprices,0.3445
2014-06-01,Headline,3,Factor_5,real_turnover,-0.3016
2014-09-01,Headline,3,Factor_1,M2_change,-0.3429
2014-09-01,Headline,3,Factor_1,M1_change,-0.3278
2014-09-01,Headline,3,Factor_1,Saron_Rate,0.3233
2014-09-01,Headline,3,Factor_1,CH_2int,0.316
2014-09-01,Headline,3,Factor_1,EU_fin_spread,-0.316
2014-09-01,Headline,3,Factor_2,kofbarometer,0.3901
2014-09-01,Headline,3,Factor_2,Wage_change,-0.3404
2014-09-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2014-09-01,Headline,3,Factor_2,Business_Confidence_EU,0.3187
2014-09-01,Headline,3,Factor_2,gdp_index_eu,0.2976
2014-09-01,Headline,3,Factor_3,oilprices,-0.4921
2014-09-01,Headline,3,Factor_3,variable_mortgages,0.4256
2014-09-01,Headline,3,Factor_3,fin_spread,0.3701
2014-09-01,Headline,3,Factor_3,kofbarometer,0.2557
2014-09-01,Headline,3,Factor_3,Vol_loans,-0.2523
2014-09-01,Headline,3,Factor_4,retail_turnover,-0.4343
2014-09-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3873
2014-09-01,Headline,3,Factor_4,Wage_change,-0.3197
2014-09-01,Headline,3,Factor_4,Saron_Rate,-0.2848
2014-09-01,Headline,3,Factor_4,infl_e_current_year,0.2675
2014-09-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5685
2014-09-01,Headline,3,Factor_5,Manufacturing_EU,0.3858
2014-09-01,Headline,3,Factor_5,Vol_loans,-0.3772
2014-09-01,Headline,3,Factor_5,oilprices,0.3445
2014-09-01,Headline,3,Factor_5,real_turnover,-0.3016
2014-12-01,Headline,3,Factor_1,M2_change,-0.3429
2014-12-01,Headline,3,Factor_1,M1_change,-0.3278
2014-12-01,Headline,3,Factor_1,Saron_Rate,0.3233
2014-12-01,Headline,3,Factor_1,CH_2int,0.316
2014-12-01,Headline,3,Factor_1,EU_fin_spread,-0.316
2014-12-01,Headline,3,Factor_2,kofbarometer,0.3901
2014-12-01,Headline,3,Factor_2,Wage_change,-0.3404
2014-12-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2014-12-01,Headline,3,Factor_2,Business_Confidence_EU,0.3187
2014-12-01,Headline,3,Factor_2,gdp_index_eu,0.2976
2014-12-01,Headline,3,Factor_3,oilprices,-0.4921
2014-12-01,Headline,3,Factor_3,variable_mortgages,0.4256
2014-12-01,Headline,3,Factor_3,fin_spread,0.3701
2014-12-01,Headline,3,Factor_3,kofbarometer,0.2557
2014-12-01,Headline,3,Factor_3,Vol_loans,-0.2523
2014-12-01,Headline,3,Factor_4,retail_turnover,-0.4343
2014-12-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3873
2014-12-01,Headline,3,Factor_4,Wage_change,-0.3197
2014-12-01,Headline,3,Factor_4,Saron_Rate,-0.2848
2014-12-01,Headline,3,Factor_4,infl_e_current_year,0.2675
2014-12-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5685
2014-12-01,Headline,3,Factor_5,Manufacturing_EU,0.3858
2014-12-01,Headline,3,Factor_5,Vol_loans,-0.3772
2014-12-01,Headline,3,Factor_5,oilprices,0.3445
2014-12-01,Headline,3,Factor_5,real_turnover,-0.3016
2015-03-01,Headline,3,Factor_1,M2_change,-0.3429
2015-03-01,Headline,3,Factor_1,M1_change,-0.3278
2015-03-01,Headline,3,Factor_1,Saron_Rate,0.3233
2015-03-01,Headline,3,Factor_1,CH_2int,0.316
2015-03-01,Headline,3,Factor_1,EU_fin_spread,-0.316
2015-03-01,Headline,3,Factor_2,kofbarometer,0.3901
2015-03-01,Headline,3,Factor_2,Wage_change,-0.3404
2015-03-01,Headline,3,Factor_2,gdp_index_ch,0.3347
2015-03-01,Headline,3,Factor_2,Business_Confidence_EU,0.3187
2015-03-01,Headline,3,Factor_2,gdp_index_eu,0.2976
2015-03-01,Headline,3,Factor_3,oilprices,-0.4921
2015-03-01,Headline,3,Factor_3,variable_mortgages,0.4256
2015-03-01,Headline,3,Factor_3,fin_spread,0.3701
2015-03-01,Headline,3,Factor_3,kofbarometer,0.2557
2015-03-01,Headline,3,Factor_3,Vol_loans,-0.2523
2015-03-01,Headline,3,Factor_4,retail_turnover,-0.4343
2015-03-01,Headline,3,Factor_4,Exchange_Rate_CHF,0.3873
2015-03-01,Headline,3,Factor_4,Wage_change,-0.3197
2015-03-01,Headline,3,Factor_4,Saron_Rate,-0.2848
2015-03-01,Headline,3,Factor_4,infl_e_current_year,0.2675
2015-03-01,Headline,3,Factor_5,Exchange_Rate_CHF,0.5685
2015-03-01,Headline,3,Factor_5,Manufacturing_EU,0.3858
2015-03-01,Headline,3,Factor_5,Vol_loans,-0.3772
2015-03-01,Headline,3,Factor_5,oilprices,0.3445
2015-03-01,Headline,3,Factor_5,real_turnover,-0.3016
2015-06-01,Headline,3,Factor_1,M2_change,-0.3429
2015-06-01,Headline,3,Factor_1,M1_change,-0.3278
2015-06-01,Headline,3,Factor_1,Saron_Rate,0.3233
2015-06-01,Headline,3,Factor_1,CH_2int,0.316
